id,nlevels,nobjects,floorArea,set,nrooms,house,sceneType
17DRP5sb8fy,1,187,103.4414928132465,train,10,house,
1LXtFkjw3qL,3,550,446.50257564146716,train,31,house,
1pXnuDYAj8r,2,963,567.0759161883575,train,29,house,
29hnd4uzFmX,2,256,168.587594661001,train,15,house,yurt
2azQ1b91cZZ,2,863,545.2105713599581,val,29,house,
2n8kARJN3HM,2,782,665.453642829145,train,29,house,
2t7WUuJeko7,1,180,80.28119938168099,test,6,house,
5LpN3gDmAk7,2,469,496.9533566407005,train,28,house,
5ZKStnWn8Zo,2,1021,784.2181699684854,test,28,house,
5q7pvUzZiYa,3,411,445.096799507235,train,19,house,
759xd9YjKW5,2,665,421.69956595945655,train,20,house,
7y3sRwLe3Va,3,802,543.5897534330229,train,36,house,
8194nk5LbLH,2,200,205.87249529568498,val,8,other,gym
82sE5b5pLXE,2,542,292.356039266111,train,16,house,
8WUmhLawc2A,1,619,250.392097880727,train,18,house,
ARNzJeq3xxb,1,502,406.25557203140403,test,19,house,
B6ByNegPMKs,1,2264,1983.7794390840986,train,81,other,company
D7G3Y4RVNrH,3,141,74.6495238590835,train,5,other,library
D7N2EKCX4Sj,3,1566,906.030374957705,train,43,house,hotel
E9uDoFAP3SH,2,1062,1509.6383434847698,train,46,house,
EDJbREhghzL,2,539,296.117596217145,train,15,house,
EU6Fwq7SyZv,3,439,290.273234833075,val,15,house,
GdvgFV5R1Z5,1,99,35.1976153803005,train,6,house,yurt
HxpKQynjfin,1,138,46.2297355407043,train,8,house,
JF19kD82Mey,2,274,236.37859475354702,train,15,house,
JeFG25nYj2p,1,445,289.147274913847,train,22,house,
JmbYfDe2QKZ,2,519,209.69043561782848,train,19,house,
PX4nDJXEHrG,3,1070,1017.88342272165,train,49,house,
Pm6F8kyY3z2,2,85,114.37954365380901,train,4,house,
PuKPg4mmafe,1,327,795.02291073737,train,7,other,hotel_lobby
QUCTc6BB5sX,2,790,782.849086905115,val,36,house,
RPmz2sHmrrY,1,252,90.8836263775615,test,8,house,
S9hNv5qa7GM,2,454,308.5924628458795,train,19,house,
SN83YJsR3w2,3,1188,1316.589044233657,train,52,house,
TbHJrupSAjP,3,642,415.2339460446576,val,28,house,
ULsKaCPVFJR,2,459,333.20362580569144,train,26,house,
UwV83HsGsw3,2,461,689.8999620198898,test,30,house,
Uxmj2M2itWa,1,320,589.2115363481066,train,31,house,
V2XKFyX4ASd,4,474,439.5125601251855,train,29,house,
VFuaQ6m2Qom,3,698,1884.2788968304158,train,41,house,
VLzqgDo317F,2,636,690.8282191692999,train,20,other,museum_house
VVfe2KiqLaN,2,307,300.0958706736255,train,13,house,
Vt2qJdWjCF2,1,535,708.1550450908607,test,25,other,spa
Vvot9Ly1tCj,1,714,1472.51879328877,train,30,house,
VzqfbhrpDEA,2,1736,1115.995057818245,train,47,house,
WYY7iVyf5p8,4,401,194.53679103231636,test,25,house,
X7HyMhZNoso,2,537,454.0873481870161,val,30,house,
XcA2TqTSSAj,6,478,508.0622297229647,train,33,house,
YFuZgdQ5vWj,2,419,216.713252671055,test,24,house,
YVUC4YcDtcY,1,308,245.68174638300002,test,11,other,company
YmJkqBEsHnH,1,109,122.569640751994,train,4,other,church
Z6MFQCViBuw,2,563,675.7992322800798,val,22,other,museum_house
ZMojNkEp431,3,438,361.7686717480799,train,20,other,company
aayBHfsNo7d,2,528,334.51348114791506,train,21,house,
ac26ZMwG7aT,1,1292,607.695523369263,train,31,house,
b8cTxDM8gDG,3,732,547.5213151955185,train,24,house,
cV4RVeZvu5T,2,413,209.6655723974202,train,14,house,
dhjEzFoUFzH,1,98,1587.748084705779,train,3,other,church
e9zR4mvMWw7,3,484,323.47196126509505,train,24,house,
fzynW3qQPVF,2,478,1163.755463571659,test,31,house,
gTV8FGcVJC9,4,1226,1032.750151797753,train,49,house,
gYvKGZ5eRqb,1,88,579.2821544055001,test,1,other,church
gZ6f7yhEvPG,1,31,30.66494790009,train,1,other,church
gxdoqLR6rwA,2,117,2034.0594149506449,test,4,other,church
i5noydFURQK,2,316,148.8633331923155,train,14,house,
jh4fc5c5qoQ,1,270,170.9776132266195,train,16,house,
jtcxE69GiFV,2,936,665.3194027930523,test,38,house,
kEZ7cmS4wCh,3,650,1191.8390035489042,train,35,house,
mJXqzFtmKg4,1,643,423.3292860687668,train,24,house,
oLBMNvg9in8,4,771,357.2646787485138,val,31,house,
p5wJjkQkbXX,2,728,704.957073539047,train,37,house,
pLe4wQe7qrG,1,35,64.73002313692498,val,2,other,church
pRbA3pwrgk9,5,506,289.7968126160139,train,29,house,
pa4otMbVnkk,4,1317,872.0185695994547,test,37,house,
q9vSo1VnCiC,1,467,337.09494126591494,test,22,house,
qoiz87JEwZ2,2,536,371.35136105165395,train,20,house,
r1Q1Z4BcV1o,1,479,789.6913351873201,train,14,other,dining_hall
r47D5H71a5s,1,290,269.52155139817773,train,21,other,spa
rPc6DW4iMge,3,507,406.63707673565074,train,27,house,
rqfALeAoiTq,4,411,425.30327461546057,test,27,house,
s8pcmisQ38h,3,261,348.68785464792006,train,18,house,
sKLMLpTHeUy,3,462,449.46524707095347,train,27,house,
sT4fr6TAbpF,1,353,333.5850605309975,train,20,house,
uNb9QFRL6hY,2,900,807.3728526312914,train,59,house,
ur6pFq6Qu1A,1,569,839.109012357255,train,31,other,spa
vyrNrziPKCB,2,1814,1929.2076959223,train,65,house,
wc2JMjhGNzB,3,1077,786.4445831679475,test,42,house,
x8F5xyUWy9e,1,277,168.626234370634,val,15,other,spa
yqstnuAEVhm,4,1022,443.73465313943603,test,29,house,
zsNo4HB9uLZ,1,479,232.82955744656002,val,23,house,
