id,nroomsAuto,nrooms,nregions,nobjects,dimX,dimY,dimZ,floorArea,set,notes
004667ffa2594fa780e84d7b979f25ab,6,6,6,97,44.755,2.740,51.170,2290.100,test,
0049e2ed9d7b7c49930d92c30fd59ff7,4,4,4,11,42.659,2.740,44.066,1879.806,train,empty house
00a76592d5cc7d92eef022393784a2de,4,4,7,37,9.500,3.256,6.775,64.360,train,
00f51d7ba0a47f2c26149e4fa86c237d,6,7,7,109,12.090,2.740,13.569,164.051,train,
0161a4ab2e4fa6aa12dab13c170c2fd6,4,5,6,47,50.965,2.740,47.040,2397.394,test,needRoomFixup
02009ca0f3f2148d63a5f295f1140be3,7,6,9,101,18.230,2.740,11.015,200.801,train,
022dfd041b20219d2170ffe1134bc444,7,7,10,76,10.357,2.740,9.208,95.374,train,
047dbcc70a693132ae860b9c73741483,8,8,9,186,20.580,2.750,15.415,317.231,test,
05fc50487eb1da4939e5a4905b1776ea,3,4,6,141,13.767,2.800,8.417,115.872,train,
0713fb7a2528bcb31e6a696894f8d462,4,4,4,81,15.510,2.790,14.480,224.585,test,
0a1b29dba355df2ab02630133187bfab,7,7,10,125,12.265,2.740,11.040,135.406,train,
0b3c0e8f222cdd2e398ad704a4f0d628,5,8,8,20,7.999,2.740,5.920,47.356,train,
0c1a568d6aba8ea1814586fc6f6a3144,4,4,4,61,8.205,2.780,16.137,132.408,test,
0c5672fea06b4aa2c622862e7241b71d,2,2,4,28,4.205,2.740,7.093,29.824,val,
0c818d79073de53af1b620d950f0ad75,4,8,7,79,11.509,2.762,6.945,79.933,train,
0d143c0fc593718cf081d8486f8f0f9b,7,7,12,267,14.772,2.750,10.971,162.065,train,
0d7ce0712429fe7458eebfbe208d7569,6,7,6,123,9.335,2.750,6.270,58.530,val,
0f38b26e0f6ef2b73d62bd320ce99219,3,4,5,70,5.730,2.783,8.954,51.303,val,connected room regions
1049f080a0fb2c7ddf9b8d021f8e9e12,9,9,10,94,7.600,2.740,12.851,97.664,test,
114cf5e77612f4b282007f1bca6c07a1,5,5,6,102,10.090,2.750,8.841,89.203,val,
129dfcd37ae7b08f67c4f5c765659b60,8,8,10,122,12.049,2.740,16.099,193.990,train,
12a9355ba4a5582017596148e61970a1,7,7,9,99,12.399,2.740,10.370,128.580,test,restaurant
1322e2543024ac169fb39042a4dcd346,5,6,7,58,45.365,2.740,43.165,1958.169,train,
136112b021d77e79d48973ffb52738b4,5,5,6,63,9.575,2.740,6.495,62.192,train,
141d7581eb0619667db917a1f89503e9,3,4,5,38,12.190,2.790,10.715,130.613,val,
14a3c17a9ab9fdd3889177ee3d86dbaf,8,8,11,119,17.614,2.790,12.947,228.053,test,
15a375143289a1cca487e8dc74acb0c2,1,3,1,87,15.338,3.662,7.920,121.475,train,
15e2e10d986c290ac52b9b8f81ea2d23,8,8,10,183,19.339,2.760,6.155,119.037,test,
1661258df31724760a6241a9780eafc0,3,3,3,40,9.055,2.740,8.220,74.431,train,
180bd1eb8a95e3a77c340356976a5595,3,3,5,73,10.300,2.868,6.617,68.151,train,
191358fb296ebc351dfaaf129c495d32,3,2,4,46,8.555,2.740,7.335,62.752,test,
193f1358034e7bba75331fa1da79cb30,2,3,4,38,8.213,2.740,6.085,49.976,test,
19a2eecd32934f424d5b18a4b48e0017,6,7,6,43,11.810,2.740,6.789,80.184,train,
1b51a34931fddc99225ea3fd8d1c2a68,5,5,7,100,10.542,3.348,9.979,105.195,train,
1ded2ecae869c7616f4ec0daba5d5483,4,5,8,98,13.350,2.740,12.022,160.491,train,
1e14e7812ded5b38df4a2557fb2335f8,7,7,7,98,11.610,2.740,8.401,97.528,val,
1f42a445cf1b5c938132d419c07fb8a7,8,7,9,56,16.757,3.554,10.870,182.148,val,
208ff373ba22ff8522fae894c00f1f6f,8,8,11,175,14.530,2.780,11.399,165.631,test,shower is separate room
21cf40f70a619dd4ed30da3fb7623748,5,5,5,56,22.332,2.740,13.130,293.228,train,
21d1db39a21cdfd839b05c8e481f6e39,4,4,4,83,10.290,2.750,11.155,114.781,val,
22cdb070a30c38b22862a2f625b6b10f,5,5,7,88,8.385,2.790,12.269,102.879,test,balcony
2338f6bd956250d54d2a222d824b29c8,3,3,5,57,9.795,2.740,10.112,99.049,train,
233f8ec0dcc70f15861919ddbc645083,4,4,6,43,20.069,2.740,10.965,220.062,train,
2344eed400f35cc414aaca9fdba8bed2,2,2,2,31,7.530,2.770,6.410,48.267,train,
2366401c83962cde8cf1cbbd938d92e2,8,8,9,115,14.450,2.740,14.495,209.459,test,
23de64e5ef9db4775881ff69d959367c,8,9,8,89,17.500,2.790,8.460,148.041,test,office
23fc879127c04f299a771a50521b6798,1,5,6,68,6.880,2.740,9.140,62.882,train,inner walls but only single door
24b7ab429c5557f2572e2482f6ee2857,2,2,2,27,5.915,2.740,8.199,48.500,val,
24de0438e89fe831355ec48e0b947bbb,8,8,8,73,12.110,2.740,10.100,122.307,val,
25a19fa80aac90b4cf22aea24e4b7032,5,4,8,115,11.457,2.740,7.171,82.160,train,transparent partitions
25a216581afffa55e342efbce641c780,4,4,6,69,12.349,2.750,8.360,103.238,train,
25a3f2ca48097e27d7ddfebf29059bac,4,3,6,90,9.354,2.751,11.895,111.272,train,
260d097ef0182086960807a0d92d489e,3,3,4,50,7.155,2.740,4.220,30.193,test,
26d0bf47e83384d3ff9f60f87a7d4edd,5,4,6,34,14.970,2.790,15.250,228.286,val,garden
284ff31467d92cb95f477fea90272abc,5,5,8,75,11.120,2.800,10.845,120.594,train,
294beb49686688ea4e57eab3a8bfbac2,3,4,4,36,6.335,2.750,4.795,30.375,train,narrow
295d36aa335fc9cd309b657427130f49,4,4,5,38,12.630,2.750,9.790,123.645,test,
29ccf91b793269badd35aac41dad9c02,3,3,4,28,10.611,2.740,6.055,64.254,train,
2a3aef3a6ce9e7aa7cea01b55236202f,2,2,3,69,10.260,2.740,9.188,94.267,train,
2e68313e7cfddb069a185565cf9b868e,4,4,5,80,8.325,2.752,9.389,78.167,test,
2edb65e583e677b1645afdb8ba6c834d,2,2,4,38,9.572,2.740,4.980,47.664,train,
2fe6519d1bd40dfe64155a0b6274915e,2,2,2,26,7.119,2.740,3.359,23.918,test,
3120132eb69a961e8c1da744b7a56d9f,10,9,10,53,18.990,2.750,19.995,379.705,train,
312222c5287857977042e2b1e611b90d,3,3,4,77,11.060,2.740,7.678,84.920,train,
3127b1a6e37894d2f8bb30dd61805141,3,5,6,77,11.301,2.750,5.965,67.406,train,
31b77365f2865bf4c2bf9d0d3d75e669,5,5,5,45,7.262,2.752,6.660,48.363,test,
31ca19e8699ee93d6eb028efb05759aa,7,8,7,109,23.610,2.802,19.370,457.326,val,
320233e1b465ead8c103cf2a2e157321,5,5,8,127,14.565,4.300,14.975,218.111,val,
